Date,IBM Open,IBM Close,SPY Open,SPY Close,GS Open,GS Close
9/15/2006,83.21,82.94,132.31,131.96,162.5,162.71
9/14/2006,81.9,82.47,131.96,132.23,159.75,162.52
9/13/2006,82.25,82.21,131.64,132.22,157.7,160.86
9/12/2006,81.14,82.28,130.56,131.69,154.75,158.29
9/11/2006,80.6,80.93,129.86,130.41,149.25,151
9/8/2006,79.6,80.66,130.08,130.28,151,149.8
9/7/2006,79.9,79.4,130.06,129.91,150.1,148.57
9/6/2006,80.29,80.28,131.11,130.51,150.65,150.67
9/5/2006,81.19,80.85,131.51,131.67,149.75,151.28
9/1/2006,81.13,81.41,131.14,131.42,148.7,149.14
8/31/2006,81.3,80.97,130.85,130.64,147.07,148.65
8/30/2006,81.26,81.22,130.87,130.66,147.2,147.06
8/29/2006,80.06,81.4,130.49,130.58,149.6,147.09
8/28/2006,79.91,80.32,129.65,130.43,148.25,149.53
8/25/2006,79.2,79.88,129.64,129.81,150.69,150.07
8/24/2006,78.9,79.38,129.99,129.65,153.55,151.4
8/23/2006,78.95,78.67,130.18,129.76,153.41,152.7
8/22/2006,79.28,78.95,129.99,130.12,154.36,154.15
8/21/2006,79.51,79.28,130.18,130.13,153.16,153.83
8/18/2006,79.38,79.9,130.19,130.69,154.45,154.68
8/17/2006,78.93,79.37,129.58,130.03,153.9,154.45
8/16/2006,77.48,79.09,129.32,129.7,153.95,154.99
8/15/2006,76.9,77.08,128.25,128.63,152.38,152.65
8/14/2006,76.05,76.68,127.63,127.11,152.48,150.37
8/11/2006,75.34,75.48,127.17,127.01,152.35,151.11
8/10/2006,75.2,75.74,126.58,127.37,149.5,151.63
8/9/2006,75.56,75.39,128.18,126.98,153.5,150.01
8/8/2006,75.63,75.33,128.09,127.41,152.65,151.45
8/7/2006,75.63,75.52,127.9,127.9,152.12,152.65
8/4/2006,76.65,75.91,129.08,128.2,154,152.99
8/3/2006,76,76.33,127.34,128.42,148.75,152.1
8/2/2006,76.21,76.32,127.58,128.08,150.26,149.9
8/1/2006,76.65,76.14,127.34,127.22,151.63,151.26
7/31/2006,76.44,77.41,127.66,127.85,151.6,152.75
7/28/2006,76.38,76.96,127.04,127.98,149.65,151.72
7/27/2006,75.83,76.15,127.38,126.71,148.7,148.26
7/26/2006,75.48,75.83,126.59,126.83,147.5,147.38
7/25/2006,75.99,75.89,125.98,126.66,146.9,148.49
7/24/2006,74.92,75.99,124.44,126.21,143.3,146.9
7/21/2006,75.49,74.86,125.15,123.95,145.05,142.04
7/20/2006,75.73,75.48,126.12,124.83,146.7,145.18
7/19/2006,76,76.07,124.18,125.69,142.7,146.97
7/18/2006,73.7,74.26,123.71,123.97,140.62,142.34
7/17/2006,73.35,73.7,123.52,123.34,140.1,140.87
7/14/2006,74.24,73.57,124.13,123.52,143.1,140.1
7/13/2006,75.01,74.24,125.45,124,144.03,142.55
7/12/2006,76.07,75.48,127.15,126.05,148.7,145.27
7/11/2006,76.25,76.47,126.61,127.41,148.4,148.67
7/10/2006,76.18,76.67,126.94,126.85,149.25,148.85
7/7/2006,78.09,76.42,127.19,126.61,150.01,148.51
7/6/2006,77.59,78.09,127.2,127.44,152.29,150.58
7/5/2006,78,77.77,127.29,127.07,151.7,150.95
7/3/2006,77.54,78.02,127.43,127.8,151.93,152.45
6/30/2006,77.7,76.82,127.54,127.28,152.2,150.43
6/29/2006,76.89,77.59,125.2,127.27,148.1,152.2
6/28/2006,76.53,76.56,124.19,124.75,147.41,146.49
6/27/2006,77.32,76.63,125.01,123.91,149.05,147.16
6/26/2006,77.04,77.15,124.54,124.99,148.92,149.9
6/23/2006,77.15,77.1,124.33,124.44,147.85,147.92
6/22/2006,78.16,77.19,124.95,124.46,149.71,148.31
6/21/2006,77.99,78.3,124,125.01,145.77,149.83
6/20/2006,77.84,77.99,124.01,124.09,144.65,145.26
6/19/2006,77.9,77.67,125.4,123.67,144.98,143.75
6/16/2006,78.44,77.95,125.29,124.65,143.3,144
6/15/2006,77.85,78.56,123.95,126.12,140.4,144.12
6/14/2006,76.93,77.71,122.84,123.5,139.75,138.5
6/13/2006,77.14,76.93,123.74,122.55,144.5,139.25
6/12/2006,77.63,77.02,125.88,123.99,150.3,145
6/9/2006,77.24,77.63,126.36,125.35,151,149.89
6/8/2006,78.55,77.03,125.58,125.75,148.8,149.76
6/7/2006,79.78,79.15,126.91,125.86,149.25,149.95
6/6/2006,79.06,79.76,127.21,126.81,151.39,149.24
6/5/2006,79.1,79.06,128.85,127.12,154.95,150.4
6/2/2006,80.5,79.52,129.25,129,155.5,154.09
6/1/2006,79.89,80.69,127.38,128.73,150.92,153.55
5/31/2006,80.15,79.9,126.62,127.51,151.3,150.95
5/30/2006,80.35,80.16,127.97,126.1,151,149.83
5/26/2006,80.16,80.75,128.01,128.38,150,152.94
5/25/2006,79.89,80.14,126.92,127.73,145.2,147.32
5/24/2006,79.35,79.78,125.68,126.17,143.65,143.92
5/23/2006,80.25,79.83,127.18,125.17,148.05,143.7
5/22/2006,79.83,80.02,126.28,126.13,148.51,146.15
5/19/2006,80.86,80.28,126.87,127.1,148.3,149.41
5/18/2006,80.5,80.66,127.35,126.21,149.36,147.03
5/17/2006,81.75,81.27,128.67,126.85,150.85,148.21
5/16/2006,83,82.16,129.76,129.31,153.6,152.7
5/15/2006,81.8,82.89,128.79,129.5,154.6,153.14
5/12/2006,82.47,82.39,130.36,129.24,158.75,156.11
5/11/2006,82.65,82.46,132.51,130.95,164.38,159.28
5/10/2006,82.9,82.9,132.41,132.55,164.85,164.09
5/9/2006,82.49,83.23,132.42,132.62,163.75,165.75
5/8/2006,82.6,82.89,132.51,132.36,164.39,163.53
5/5/2006,82.95,83.28,132.05,132.52,159.75,164.39
5/4/2006,82.87,82.43,131.08,131.36,159.16,158.04
5/3/2006,82.54,82.7,131.15,130.89,159.5,159.15
5/2/2006,82.11,82.42,131.01,131.38,157.6,158.83
5/1/2006,82.59,82.23,131.47,130.4,160.3,156.45
4/28/2006,83.51,82.34,130.79,131.47,163.81,160.29
4/27/2006,82.7,83.88,129.9,131.03,163.35,163.97
4/26/2006,82.84,83.35,130.5,130.4,163.5,163.4
4/25/2006,81.95,82.67,131.04,130.37,165.35,162.8
4/24/2006,81.3,82.11,130.89,130.91,165.5,165.35
4/21/2006,82.49,81.66,131.69,131.15,168.62,165.89
4/20/2006,81.65,82.02,131,131.13,166.06,168.55
4/19/2006,83.95,81.86,130.75,130.95,164.55,167.05
4/18/2006,81.89,83.31,128.93,130.7,162.75,165.55
4/17/2006,81.92,81.64,128.83,128.66,160.25,161.94
4/13/2006,81.18,81.98,128.59,128.71,158.45,159.43
